Player,Rating,Chase W/L,Evade W/L,Chase Wins,Evade Wins,Chase Loss,Evade Loss,Chases
Xavier Rodriguez,1246.7288,0.88,0.73,7,16,1,6,30
Ky Baldwin,1206.0784,0.95,0.47,21,14,1,16,52
Jason Wu Bergeron,1196.5094,0.93,0.50,13,12,1,12,38
Benjamin Garcia,1175.2166,0.91,0.34,21,12,2,23,58
Dominique Karlin,1168.3364,0.88,0.37,15,10,2,17,44
Hugo Bochynski,1152.9408,0.96,0.41,24,15,1,22,62
Mohamed Ayari,1140.3147,0.91,0.44,10,8,1,10,29
Orlando Devaux,1132.3188,1.00,0.35,23,13,0,24,60
Frank Mejia,1131.4994,0.86,0.32,24,10,4,21,59
Dave Hogenboom,1126.1265,0.86,0.43,12,10,2,13,37
Jarrod Luty,1123.8737,0.97,0.40,28,17,1,25,71
Devin Strehle,1122.6683,0.94,0.23,33,9,2,31,75
Rob Schihl,1119.5927,0.93,0.50,26,22,2,22,72
Sean Law,1118.8674,1.00,0.35,26,11,0,20,57
Naïm Street,1115.5571,0.95,0.31,21,8,1,18,48
Michael Sliger,1114.9543,1.00,0.30,35,13,0,30,78
Matthew Hall,1112.2137,1.00,0.25,9,3,0,9,21
Leo Urban,1111.6480,0.71,0.60,5,6,2,4,17
Amos Rendao,1109.5950,0.95,0.31,20,8,1,18,47
Dima Domakov,1107.5054,0.69,0.38,11,6,5,10,32
Valentin Fiancette,1106.6768,1.00,0.31,7,4,0,9,20
Elijah Van der Vyver,1105.1844,0.95,0.18,19,4,1,18,42
Caryl Cordt-Moller,1104.0391,0.77,0.47,10,8,3,9,30
Mathieu Gestin,1103.6989,0.83,0.30,15,6,3,14,38
Benyamine El Ouafi,1101.1137,0.84,0.32,26,11,5,23,65
Bear Schneider,1101.0916,0.89,0.31,25,11,3,25,64
Ethan Guzman,1100.7143,0.88,0.23,22,5,3,17,47
Augustin Ciavaldini,1099.1962,0.92,0.37,12,7,1,12,32
Dustin Thao,1098.1718,0.81,0.31,17,8,4,18,47
Laine Cammarata,1097.8125,0.93,0.32,14,6,1,13,34
Sukan Gregg,1097.0879,0.69,0.50,11,13,5,13,42
Damian ZumTobel,1096.3913,0.89,0.33,31,13,4,27,75
Kyle Soderman,1093.5161,0.90,0.47,45,45,5,51,146
Michael Frazier,1092.0740,1.00,0.31,12,5,0,11,28
Maxwell Boice,1089.9968,0.94,0.31,15,8,1,18,42
Oleg Gohman,1089.4408,1.00,0.30,8,3,0,7,18
Santos Terrones,1089.0738,0.88,0.33,21,10,3,20,54
Bilal Ligreci,1086.4812,0.85,0.32,17,6,3,13,39
Steven Moffatt,1085.3816,1.00,0.19,16,4,0,17,37
Stas Naftalayev,1085.0184,0.81,0.28,13,5,3,13,34
Loïc Giorgi,1083.7951,0.80,0.28,16,7,4,18,45
Sasha Hordiychuk,1083.3752,1.00,0.33,5,3,0,6,14
Yoann Ferreira,1082.6597,0.83,0.35,5,6,1,11,23
Davis Vasconcellos,1081.7948,0.86,0.33,24,13,4,26,67
Sam Van Rijn,1078.9968,0.73,0.36,8,4,3,7,22
Gabriel Torres,1078.5494,0.83,0.23,10,3,2,10,25
Luke Stones,1077.7766,0.96,0.09,24,2,1,21,48
Xzavian Ochoa,1077.5463,1.00,0.67,2,4,0,2,8
Enzo Tardivo,1077.1734,0.92,0.20,11,3,1,12,27
Josh Vigo,1074.6328,1.00,0.29,5,2,0,5,12
Stephen McCarty,1074.3769,0.96,0.23,22,6,1,20,49
Joshua Vigo,1074.1890,1.00,0.38,5,5,0,8,18
Seth Rujiraviriyapinyo,1073.6445,0.85,0.23,22,6,4,20,52
Gāng Luo ,1073.1411,0.71,0.45,5,5,2,6,18
Seth Wang,1071.4499,0.89,0.24,17,5,2,16,40
Roland Hannigan,1070.8769,0.80,0.36,16,10,4,18,48
Mehdi Hadim,1069.5753,0.86,0.46,6,6,1,7,20
Michane Ricketts,1067.8709,0.88,0.27,7,3,1,8,19
Raul Muniz,1067.7753,0.89,0.21,16,5,2,19,42
Cian O’Maitiu,1065.1360,0.60,0.56,3,5,2,4,14
Aaron Lucas,1064.5476,0.91,0.22,29,8,3,29,69
Haroon Hanafi,1062.9590,1.00,0.14,21,3,0,19,43
Logan Piner,1061.9124,0.89,0.24,17,5,2,16,40
Tavon McVey,1060.9921,0.92,0.21,11,3,1,11,26
Jonathan Alfonseca,1058.3526,0.81,0.33,13,8,3,16,40
Joey Adrian,1058.2514,0.93,0.29,14,5,1,12,32
Julius Porter,1056.1580,0.73,0.15,11,2,4,11,28
Omar Zaki,1055.1105,0.73,0.17,22,4,8,20,54
Luis Casas,1054.8026,0.64,0.29,9,4,5,10,28
Bastien Ouali,1053.5928,0.77,0.31,10,4,3,9,26
Matthew Wachtman,1053.5129,0.87,0.23,20,6,3,20,49
Khalil Haddouri,1053.2744,0.82,0.09,23,2,5,20,50
Jeremiah Washington,1053.0662,1.00,0.23,9,3,0,10,22
Anyelo Deluque,1052.3173,0.75,0.40,3,2,1,3,9
Antoine Henriques,1051.7155,1.00,0.33,11,4,0,8,23
Roman Brock,1050.3275,1.00,0.50,1,2,0,2,5
Dylan Cheung,1049.8385,0.60,0.50,3,3,2,3,11
Sean Nierenberg,1049.2560,0.76,0.20,13,3,4,12,32
Kyle Glykeriou,1049.0443,0.73,0.50,8,6,3,6,23
Nick Amblo,1048.7084,0.92,0.32,12,6,1,13,32
Nate Weston,1048.1211,0.70,0.42,7,5,3,7,22
Jonathan Dumont,1047.6028,0.75,0.21,12,3,4,11,30
Christian Anderson,1047.2134,1.00,0.33,3,2,0,4,9
Joseph Rizzo,1045.6991,0.90,0.14,28,4,3,25,60
Isaac Chen,1045.1584,1.00,0.40,3,2,0,3,8
Robbie Griffith,1044.9396,1.00,0.50,2,1,0,1,4
David Nelmes,1044.6613,0.91,0.36,10,4,1,7,22
Qí Tang ,1044.4771,0.80,0.20,4,1,1,4,10
Deyvid Garcia,1043.6780,0.75,0.43,3,3,1,4,11
Ed Scott,1043.2651,0.67,0.40,2,2,1,3,8
Bin Fang,1043.1322,0.71,0.29,5,2,2,5,14
Max Hummel,1042.5473,0.92,0.20,12,3,1,12,28
Olof Wood,1041.7133,0.87,0.21,26,6,4,22,58
Benni Grams,1041.7078,1.00,0.25,4,1,0,3,8
Miguel Diaz,1041.1322,0.81,0.25,13,3,3,9,28
Hunter Payton Mendoza,1040.8670,0.83,0.29,10,5,2,12,29
Richard Thompson,1040.2636,0.78,0.32,18,8,5,17,48
Wes Preston,1037.9369,0.94,0.17,15,3,1,15,34
Alec Reduker,1036.9479,0.80,0.20,8,2,2,8,20
Jacob Hardcore,1035.3198,1.00,0.50,2,1,0,1,4
Jimbo Jambo,1034.7602,0.67,0.29,4,2,2,5,13
Dylan Polin,1033.9034,1.00,0.10,9,1,0,9,19
Lukas Milesi,1032.9657,0.73,0.36,8,4,3,7,22
Shay Turkia,1031.6880,0.77,0.11,10,1,3,8,22
Alex Pawlus,1031.3153,0.67,0.40,4,2,2,3,11
Nabil Hadim,1031.2852,0.82,0.33,9,3,2,6,20
Joezy Albani,1030.8110,0.83,0.17,5,1,1,5,12
Mathew Hall,1030.7562,0.63,0.38,5,3,3,5,16
Michael Franko,1030.6545,0.76,0.22,13,4,4,14,35
Eric Moor,1029.7043,0.60,0.67,3,4,2,2,11
Luca Spanò,1029.4839,0.67,0.33,4,2,2,4,12
Sabri Boucetha,1028.1901,1.00,0.11,8,1,0,8,17
Luke Horner,1028.1576,0.89,0.10,8,1,1,9,19
Max Lee Pottie,1025.8742,1.00,0.29,4,2,0,5,11
Alex Moseley,1025.7085,0.67,0.29,12,5,6,12,35
Zackaria Nsingi,1025.4600,0.88,0.14,7,1,1,6,15
Jake Migliorato,1025.3060,0.77,0.23,20,7,6,24,57
Alexander Steklyannikov,1024.2325,0.87,0.22,13,5,2,18,38
Marwane Kerrouche,1023.1678,1.00,0.11,6,1,0,8,15
Dom Tomato,1023.1028,0.60,0.25,3,1,2,3,9
Luc Yan,1022.4727,0.75,0.40,3,2,1,3,9
Rich Rodriguez,1022.2323,0.80,0.33,4,2,1,4,11
Travis Verkaik,1022.0712,1.00,0.33,2,1,0,2,5
David Sumara,1021.0737,0.67,0.30,6,3,3,7,19
Devin McIatosh,1020.9853,0.80,0.20,4,1,1,4,10
Ishakamusa Mualimm-Ak,1020.6193,1.00,0.11,8,1,0,8,17
Jacob Blake,1020.6189,0.75,0.43,3,3,1,4,11
Killian Tonnerre,1020.2891,0.67,0.33,2,1,1,2,6
Jake Markiewicz,1018.9988,0.78,0.31,7,4,2,9,22
Christopher Piccirello,1018.9947,0.79,0.28,11,5,3,13,32
Redouan Yagoub,1018.8068,1.00,0.00,1,0,0,1,2
Hugo Treguier,1017.8143,0.80,0.27,8,3,2,8,21
Joe Unruh,1017.3649,0.90,0.19,19,4,2,17,42
Esteban Noguera,1016.5525,0.83,0.17,5,1,1,5,12
Tony Campanali,1015.3938,0.60,0.40,3,2,2,3,10
Andy Tomin,1014.0366,0.78,0.18,14,3,4,14,35
Joshua Hill,1013.0734,1.00,0.00,3,0,0,2,5
Macoy Hampton,1011.1132,0.78,0.22,7,2,2,7,18
Ross Allen,1010.7759,0.60,0.40,3,2,2,3,10
Taishi Kamio,1010.1138,1.00,0.00,1,0,0,1,2
Max Calderon,1009.5689,0.71,0.14,5,1,2,6,14
Timothee Ginot,1009.2282,0.60,0.50,3,1,2,1,7
Paul Fisher,1009.1824,0.80,0.29,20,9,5,22,56
Tim Dexter,1009.1365,0.71,0.27,10,3,4,8,25
Gabriel Payne,1009.0560,0.72,0.18,13,3,5,14,35
AJ Aljaafreh,1008.8055,1.00,0.13,7,1,0,7,15
Yun Peng Zhang,1008.4778,0.75,0.25,3,1,1,3,8
Luca Beaufort,1008.3543,0.50,0.50,1,1,1,1,4
Anthony Walker,1007.8916,0.91,0.10,10,1,1,9,21
Mike Meyers,1007.7328,0.83,0.29,5,2,1,5,13
Tyler Carrie,1006.9647,0.86,0.22,6,2,1,7,16
Naji Vernon,1006.7090,0.67,0.17,6,1,3,5,15
Sebastien Foucan,1006.6011,0.60,0.43,3,3,2,4,12
Joey Jepsen,1006.2598,1.00,0.00,4,0,0,3,7
Sid Mohorovich,1006.2366,0.67,0.33,2,1,1,2,6
Benedikt Studer,1005.8956,0.63,0.29,5,2,3,5,15
Joe Scandrett,1005.7989,1.00,0.00,1,0,0,1,2
Milan Szukenyik,1004.9376,1.00,0.00,1,0,0,1,2
Will Pippin,1004.7885,0.86,0.14,6,1,1,6,14
Leon Brandt,1004.4516,1.00,0.00,4,0,0,6,10
Carsten Stolz,1004.0722,0.50,0.20,2,1,2,4,9
Sean Rhinehart,1003.9805,1.00,0.00,9,0,0,8,17
Mark Bowles,1003.7128,0.92,0.26,22,10,2,28,62
Marcus Simmons,1003.3583,1.00,0.00,3,0,0,3,6
Anthony Eardley,1003.2175,1.00,0.00,2,0,0,2,4
Antonio Allen,1002.7656,0.78,0.25,7,2,2,6,17
Chris Harrison,1002.3782,1.00,0.00,1,0,0,1,2
Barry H,1002.2996,1.00,0.00,1,0,0,1,2
Travis Graves,1002.0357,1.00,0.00,4,0,0,4,8
Connor Mackinnon,1002.0081,1.00,0.00,1,0,0,1,2
JB Ninjaboy,1002.0040,0.78,0.19,14,3,4,13,34
Oscar Garcia,1001.9241,1.00,0.00,1,0,0,1,2
Tay,1001.1462,1.00,0.00,1,0,0,1,2
Ramcis Valdez,1001.1228,1.00,0.00,1,0,0,1,2
Andi Wöhle,1000.9985,1.00,0.00,4,0,0,4,8
Sarin Suvanasai,1000.9215,0.75,0.33,6,2,2,4,14
Don Terry,1000.7540,0.50,0.50,1,1,1,1,4
Amin Ashraf,1000.6817,0.67,0.20,6,2,3,8,19
Jordie Lynch,1000.5899,1.00,0.00,1,0,0,1,2
Sam Sutherland,1000.4738,1.00,0.00,1,0,0,1,2
Adam Cooper,1000.1313,1.00,0.00,2,0,0,2,4
Kelly Pierre,999.8745,1.00,0.00,1,0,0,1,2
